Country,N,Mean Fine (EUR),Median Fine (EUR),SD Fine (EUR),Min Fine (EUR),Max Fine (EUR),Mean Factors Discussed
Belgium (BE),28,"23,991","11,219","28,576","1,220","102,080",5.1
Cyprus (CY),7,"13,105","7,344","16,136","2,042","47,209",6.3
Germany (DE),20,"6,409,075","451,870","14,143,116","1,049","47,209,026",4.8
Denmark (DK),15,"144,318","25,782","380,325","7,034","1,506,753",3.9
Estonia (EE),1,50,50,-,50,50,4.0
Greece (EL),3,"15,217","18,301","12,834","1,122","26,227",0.7
Spain (ES),112,"123,138","9,928","920,449",490,"9,760,589",3.6
Finland (FI),13,"277,759","63,444","391,648","1,679","1,100,000",7.8
France (FR),38,"10,373,201","497,603","24,140,713","3,660","109,806,630",5.2
GR (GR),47,"253,487","10,208","1,143,098","1,000","7,320,442",4.2
Croatia (HR),14,"269,404","53,504","617,893","12,250","2,376,188",3.7
Hungary (HU),29,"41,889","8,616","68,910",36,"229,771",6.0
Ireland (IE),10,"80,633,062","126,568","176,979,746","23,605","530,000,000",2.9
Iceland (IS),8,"63,685","30,842","85,370","7,741","266,092",7.8
Italy (IT),167,"240,544","20,416","1,305,994",408,"15,312,018",6.7
Latvia (LV),6,"244,266","17,682","540,729",839,"1,346,317",4.7
Romania (RO),8,"81,207","2,210","224,070",522,"635,748",2.8
Slovenia (SI),2,"3,455","3,455","4,144",525,"6,385",0.0
TOTAL,528,"2,668,131","20,982","26,635,980",36,"530,000,000",5.2
