Article Cohort,N Cases,N Countries,N Pairs,Mean Δ Log Fine,SD Δ Log Fine,Mean Δ Fine (EUR),Median Δ Fine (EUR)
5,43,8,38,2.763,2.398,"3,334,891","52,609"
5;32,31,12,31,2.602,1.563,"508,556","90,815"
5;6,28,13,24,2.760,1.880,"1,205,270","26,710"
NONE,20,6,20,3.949,3.321,"13,090,246","69,593"
32,20,7,19,2.092,1.223,"52,824","23,891"
5;13,13,4,10,1.365,1.119,"22,509","15,896"
12;15,18,4,8,2.859,2.726,"15,745","4,575"
6,35,5,8,2.408,1.635,"305,858","168,909"
5;6;13,7,4,7,1.388,1.508,"28,830","7,737"
32;33,4,4,4,2.391,0.956,"51,385","51,385"
37,4,2,4,2.434,0.093,"43,269","43,269"
5;6;9,7,3,4,1.829,0.119,"79,637","78,671"
5;6;9;13,4,3,4,3.485,0.679,"189,773","189,773"
12,3,3,3,1.073,0.566,"5,444","4,268"
28;32,3,3,3,5.563,3.840,"31,465,205","47,172,424"
5;12;13,3,3,3,4.135,2.272,"671,655","998,305"
13,8,2,2,1.514,1.568,"9,920","9,920"
15,2,2,2,4.510,0.000,"100,958","100,958"
28,2,2,2,0.689,0.000,"60,759","60,759"
37;38,2,2,2,0.693,0.000,"6,125","6,125"
38,2,2,2,2.234,0.000,"525,918","525,918"
58,4,2,2,3.585,0.000,"36,808","36,808"
5;12,3,2,2,0.185,0.000,"4,256","4,256"
5;15,2,2,2,1.093,0.000,"13,948","13,948"
5;24,2,2,2,7.553,0.000,"19,062,820","19,062,820"
--- TOTAL ---,316,-,238,2.566,2.093,"2,721,126","45,389"
--- TEST ---,t = 18.908,p = 0.0000,d = 1.226,,,,
