Article Cohort,N Cases,N Countries,Countries,N Pairs,Mean Δ(log fine),SD Δ(log fine),Median Δ(€)
5,43,8,DE;DK;EL;ES;GR...,38,2.583,2.110,"€44,059"
5;32,31,12,CY;DK;ES;FI;FR...,31,2.179,1.577,"€76,501"
5;6,28,13,BE;CY;DE;EE;ES...,24,2.755,2.109,"€40,472"
NONE,20,6,EL;ES;FR;GR;IT...,20,4.596,3.419,"€131,734"
32,20,7,DE;DK;ES;FR;HR...,18,1.877,1.291,"€27,725"
5;13,13,4,ES;GR;HU;IT,10,1.635,1.403,"€17,909"
12;15,18,4,FI;HU;IT;RO,8,3.138,2.302,"€15,263"
6,35,5,DE;ES;FR;GR;RO,8,2.919,1.689,"€197,097"
5;6;13,7,4,BE;HU;IS;IT,7,2.048,1.919,"€7,737"
32;33,4,4,DK;FR;IE;RO,4,2.391,0.956,"€51,385"
37,4,2,ES;IT,4,2.434,0.093,"€43,269"
5;6;9,7,3,FI;IS;IT,4,1.829,1.244,"€80,604"
5;6;9;13,4,3,ES;HU;IT,4,3.485,0.679,"€189,773"
12,3,3,CY;GR;IT,3,1.073,0.566,"€4,268"
5;12;13,3,3,FR;GR;IT,3,4.135,2.272,"€998,305"
13,8,2,ES;LV,2,1.514,1.568,"€9,920"
15,2,2,BE;EL,2,4.510,0.000,"€100,958"
28,2,2,ES;IT,2,0.689,0.000,"€60,759"
28;32,3,3,DE;GR;IT,2,7.162,0.000,"€47,172,424"
37;38,2,2,HR;IT,2,0.693,0.000,"€6,125"
38,2,2,BE;DE,2,2.234,0.000,"€525,918"
58,4,2,ES;LV,2,3.457,0.182,"€32,520"
5;12,3,2,ES;IT,2,0.185,0.000,"€4,256"
5;15,2,2,DE;DK,2,1.093,0.000,"€13,948"
5;24,2,2,CY;IE,2,7.553,0.000,"€19,062,820"
5;25;32,3,2,IS;IT,2,2.195,0.824,"€73,310"
5;32;33,2,2,GR;IE,2,0.932,0.000,"€136,053"
5;33,2,2,GR;IT,2,0.240,0.000,"€17,055"
5;6;12,2,2,GR;IT,2,1.704,0.000,"€18,355"
5;6;12;13,3,2,BE;HU,2,0.504,0.370,"€13,731"
5;6;12;13;32,2,2,FR;HU,2,5.067,0.000,"€33,359,353"
5;6;12;14,2,2,BE;HU,2,4.106,0.000,"€225,986"
5;6;12;15;17,2,2,HU;IT,2,1.734,0.000,"€1,682"
5;6;12;17,2,2,BE;HU,2,0.314,0.000,"€3,870"
5;6;13;14,3,2,BE;IT,2,0.094,0.000,€506
5;6;7;12;13,3,3,BE;HU;IT,2,1.873,0.000,"€474,801"
5;6;7;13,3,2,HR;IT,2,0.068,0.000,"€3,786"
5;6;9;12,2,2,DE;HU,2,2.829,0.000,"€2,005,793"
5;9,11,2,DK;IT,2,1.809,0.181,"€71,241"
6;13,4,2,ES;HU,2,4.407,0.000,"€11,220"
TOTAL,316,—,—,236,2.571,2.124,—
