factor,article_set_key,stratum_context,stratum_role,stratum_sector,stratum_defendant,exposed_count,control_count,log_fine_exposed_median,log_fine_control_median,log_fine_median_diff,mannwhitney_stat,mannwhitney_pvalue,measure_jaccard_exposed,measure_jaccard_control,sanction_profile_mode_exposed,sanction_profile_mode_control
has_employee_monitoring,NONE,NONE,CONTROLLER,HEALTH,PUBLIC,2,11,0.0,0.0,0.0,11.0,1.0,0.0,0.5333333333333333,ComplianceOrder,NoFormalMeasure
has_employee_monitoring,NONE,NONE,CONTROLLER,OTHER,PRIVATE,6,2,0.0,0.0,0.0,6.0,1.0,0.25833333333333336,1.0,NoFormalMeasure,NoFormalMeasure
has_cctv,5,NONE,CONTROLLER,OTHER,PRIVATE,2,2,3.756338945440357,11.051252728224913,-7.2949137827845565,0.0,0.3333333333333333,0.125,1.0,ComplianceOrder,NoFormalMeasure
has_cctv,NONE,NONE,CONTROLLER,OTHER,PRIVATE,2,2,4.374986982346363,0.0,4.374986982346363,3.0,0.6170750774519738,0.0,1.0,NoFormalMeasure,NoFormalMeasure
has_cctv,NONE,NONE,CONTROLLER,OTHER_PUBLIC_ADMIN,PUBLIC,2,29,0.0,0.0,0.0,28.0,0.8955329031670437,1.0,0.5414614121510674,NoFormalMeasure,NoFormalMeasure
has_marketing,NONE,NONE,CONTROLLER,DIGITAL_SERVICES,PRIVATE,2,7,8.005001566641079,0.0,8.005001566641079,10.5,0.10880943004054568,0.0,0.35714285714285715,NoFormalMeasure,NoFormalMeasure
has_marketing,NONE,NONE,CONTROLLER,OTHER,INDIVIDUAL,2,2,7.487545308002546,0.0,7.487545308002546,4.0,0.22067136191984682,1.0,0.0,NoFormalMeasure,ErasureOrRestrictionOrder
has_problematic_third_party_sharing,5,NONE,CONTROLLER,OTHER_PUBLIC_ADMIN,PUBLIC,2,5,0.0,0.0,0.0,4.0,0.7518296340458492,1.0,0.125,NoFormalMeasure,NoFormalMeasure
has_problematic_third_party_sharing,5,NONE,CONTROLLER,TELECOM,PRIVATE,2,2,11.50843471867595,11.093282963826049,0.4151517548499015,4.0,0.3333333333333333,0.0,1.0,ComplianceOrder,NoFormalMeasure
has_problematic_third_party_sharing,5;32,NONE,CONTROLLER,OTHER_PUBLIC_ADMIN,PUBLIC,2,3,0.0,12.544270684344006,-12.544270684344006,1.0,0.3329216080655659,1.0,0.25,ComplianceOrder,NoFormalMeasure
has_problematic_third_party_sharing,6,NONE,CONTROLLER,TELECOM,PRIVATE,5,10,10.82927683948934,11.039545399847764,-0.21026856035842378,14.0,0.19764688367450167,0.6,0.6444444444444445,NoFormalMeasure,NoFormalMeasure
has_problematic_third_party_sharing,NONE,NONE,CONTROLLER,OTHER_PUBLIC_ADMIN,PUBLIC,2,29,0.0,0.0,0.0,28.0,0.8955329031670437,0.0,0.5414614121510674,ComplianceOrder,NoFormalMeasure
has_cookies,NONE,NONE,CONTROLLER,DIGITAL_SERVICES,PRIVATE,7,7,11.711844899089497,0.0,11.711844899089497,45.5,0.0037219730671085457,0.3392857142857143,0.35714285714285715,ComplianceOrder,NoFormalMeasure
has_credit_scoring,5;6,NONE,CONTROLLER,FINANCIAL,PRIVATE,5,2,0.0,10.371361948930078,-10.371361948930078,1.0,0.13474596713590692,0.4321428571428571,0.8571428571428571,NoFormalMeasure,NoFormalMeasure
has_credit_scoring,NONE,NONE,CONTROLLER,FINANCIAL,PRIVATE,5,10,0.0,0.0,0.0,25.0,1.0,1.0,1.0,NoFormalMeasure,NoFormalMeasure
