article_set_key,stratum_context,stratum_role,stratum_sector,case_id_left,country_left,case_id_right,country_right,log_fine_left,log_fine_right,fine_imposed_left,fine_imposed_right,measure_jaccard
15,RECRUITMENT_AND_HR,CONTROLLER,OTHER,Iceland_90,IS,Hungary_1,HU,0.0,0.0,False,False,0.2857142857142857
21,MARKETING,CONTROLLER,TELECOM,Spain_554,ES,Iceland_38,IS,11.0187059146552,0.0,True,False,0.125
5,CCTV,CONTROLLER,OTHER,Spain_469,ES,Germany_24,DE,0.0,0.0,False,True,0.0
5,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,CONTROLLER,OTHER_PUBLIC_ADMIN,Spain_627,ES,Iceland_25,IS,0.0,0.0,False,False,1.0
5;32,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,CONTROLLER,FINANCIAL,Spain_474,ES,Iceland_63,SE,8.205551975809472,0.0,True,False,0.16666666666666666
5;32,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,CONTROLLER,OTHER,Spain_580,ES,Romania_5,RO,0.0,6.404540391283338,False,True,1.0
5;32,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,CONTROLLER,OTHER_PUBLIC_ADMIN,Slovenia_63,SI,Greece_65,GR,0.0,0.0,False,False,1.0
5;33,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,CONTROLLER,FINANCIAL,Italy_315,IT,Greece_78,GR,11.289794413577894,11.050038343940328,True,True,0.0
5;6,CCTV,CONTROLLER,OTHER,Slovenia_64,SI,Iceland_59,IS,0.0,0.0,False,False,0.0
5;6,CREDIT_SCORING,CONTROLLER,FINANCIAL,Iceland_12,IS,Finland_6,FI,0.0,0.0,False,False,0.0
5;6,CREDIT_SCORING,CONTROLLER,FINANCIAL,Iceland_16,IS,Finland_36,FI,0.0,0.0,False,False,0.5
5;6,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,CONTROLLER,DIGITAL_SERVICES,Ireland_34,IE,Iceland_72,IS,0.0,0.0,False,False,0.3333333333333333
6,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,CONTROLLER,OTHER,Spain_472,ES,Greece_27,GR,0.0,6.90875477931522,False,True,0.0
NONE,CCTV,CONTROLLER,OTHER,Slovenia_57,SI,Iceland_44,IS,0.0,0.0,False,False,0.0
NONE,CCTV,CONTROLLER,OTHER_PUBLIC_ADMIN,Slovenia_21,SI,France_57,FR,0.0,0.0,False,False,1.0
NONE,COOKIES,CONTROLLER,DIGITAL_SERVICES,Spain_449,ES,France_55,FR,10.546374523628321,16.1660183623489,True,True,0.0
NONE,COOKIES,CONTROLLER,DIGITAL_SERVICES,Spain_501,ES,France_27,FR,8.244026000203089,11.711844899089497,True,True,0.125
NONE,DPO_ROLE_PROBLEMS_STATED,CONTROLLER,OTHER_PUBLIC_ADMIN,Greece_3,GR,Greece_8,EL,8.56530643082572,10.17459184749519,True,True,1.0
NONE,EMPLOYEE_MONITORING,CONTROLLER,HEALTH,Slovenia_13,SI,Greece_62,GR,0.0,0.0,False,False,0.0
NONE,EMPLOYEE_MONITORING,CONTROLLER,OTHER,Slovenia_16,SI,Iceland_39,IS,0.0,0.0,False,False,0.0
NONE,EMPLOYEE_MONITORING,CONTROLLER,OTHER,Slovenia_26,SI,Iceland_103,IS,0.0,0.0,False,False,0.0
NONE,EMPLOYEE_MONITORING,CONTROLLER,OTHER,Slovenia_32,SI,Greece_22,GR,0.0,0.0,False,False,0.0
NONE,JOURNALISM,CONTROLLER,MEDIA,Slovenia_52,SI,Italy_312,IT,0.0,0.0,False,False,1.0
NONE,MARKETING,CONTROLLER,DIGITAL_SERVICES,Germany_3,DE,France_45,FR,0.0,16.010003133282158,False,True,0.0
NONE,MARKETING,CONTROLLER,OTHER,Spain_433,ES,Greece_81,GR,7.141169713256119,7.141169713256119,True,True,0.0
NONE,RECRUITMENT_AND_HR,CONTROLLER,EDUCATION,Slovenia_10,SI,Iceland_68,IS,0.0,0.0,False,False,1.0
NONE,RECRUITMENT_AND_HR,CONTROLLER,EDUCATION,Slovenia_30,SI,Iceland_69,IS,0.0,0.0,False,False,1.0
NONE,RECRUITMENT_AND_HR,CONTROLLER,OTHER_PUBLIC_ADMIN,Spain_578,ES,Iceland_46,IS,0.0,0.0,False,False,0.0
NONE,RECRUITMENT_AND_HR,CONTROLLER,OTHER_PUBLIC_ADMIN,Iceland_102,IS,Greece_29,GR,0.0,0.0,False,False,1.0
NONE,RECRUITMENT_AND_HR,CONTROLLER,OTHER_PUBLIC_ADMIN,Iceland_104,IS,Greece_124,GR,0.0,0.0,False,False,0.0
